 4.46851271E-01   4539.0 1.413E+04 1.739E+12 5.581E-02 1.575E-01 2.000E+05
 5.21139081E-01   4573.0 1.648E+04 2.020E+12 6.390E-02 1.717E-01 2.000E+05
 6.07708095E-01   4609.5 1.922E+04 2.351E+12 7.310E-02 1.870E-01 2.000E+05
 7.08567702E-01   4648.9 2.241E+04 2.740E+12 8.374E-02 2.050E-01 2.000E+05
 8.25893309E-01   4692.6 2.612E+04 3.202E+12 9.607E-02 2.260E-01 2.000E+05
 9.62131902E-01   4741.8 3.043E+04 3.752E+12 1.104E-01 2.506E-01 2.000E+05
 1.12018193E+00   4798.3 3.542E+04 4.415E+12 1.269E-01 2.785E-01 2.000E+05
 1.30361000E+00   4862.9 4.122E+04 5.215E+12 1.458E-01 3.088E-01 2.000E+05
 1.51639131E+00   4937.7 4.795E+04 6.190E+12 1.677E-01 3.444E-01 2.000E+05
 1.76293943E+00   5025.5 5.575E+04 7.389E+12 1.931E-01 3.855E-01 2.000E+05
 2.04863797E+00   5128.3 6.478E+04 8.883E+12 2.221E-01 4.314E-01 2.000E+05
 2.37947598E+00   5248.6 7.524E+04 1.079E+13 2.562E-01 4.858E-01 2.000E+05
 2.76018766E+00   5391.7 8.728E+04 1.338E+13 2.987E-01 5.533E-01 2.000E+05
 3.19118784E+00   5553.5 1.009E+05 1.710E+13 3.566E-01 6.556E-01 2.000E+05
 3.65896931E+00   5773.8 1.157E+05 2.395E+13 4.537E-01 8.226E-01 2.000E+05
 4.12396303E+00   6038.7 1.304E+05 3.747E+13 6.385E-01 1.097E+00 2.000E+05
 4.55957570E+00   6285.8 1.442E+05 5.889E+13 9.107E-01 1.408E+00 2.000E+05
 4.96972704E+00   6514.1 1.572E+05 8.998E+13 1.281E+00 1.755E+00 2.000E+05
 5.35873075E+00   6747.3 1.695E+05 1.371E+14 1.810E+00 2.253E+00 2.000E+05
 5.71444704E+00   7033.5 1.807E+05 2.227E+14 2.712E+00 3.050E+00 2.000E+05
 6.03545843E+00   7310.5 1.909E+05 3.467E+14 3.969E+00 4.113E+00 2.000E+05
 6.31469376E+00   7665.7 1.997E+05 5.825E+14 6.288E+00 5.785E+00 2.000E+05
 6.55880166E+00   7965.0 2.074E+05 8.753E+14 9.161E+00 5.904E+00 2.000E+05
 6.79315285E+00   8202.8 2.148E+05 1.190E+15 1.227E+01 5.620E+00 2.000E+05
 7.02828362E+00   8431.1 2.222E+05 1.575E+15 1.614E+01 5.385E+00 2.000E+05
 7.27251987E+00   8625.6 2.300E+05 1.983E+15 2.032E+01 5.079E+00 2.000E+05
 7.53101420E+00   8824.6 2.381E+05 2.486E+15 2.558E+01 4.887E+00 2.000E+05
 7.80940409E+00   9000.3 2.469E+05 3.020E+15 3.126E+01 4.582E+00 2.000E+05
 8.11193618E+00   9187.1 2.565E+05 3.684E+15 3.848E+01 4.409E+00 2.000E+05
 8.44410082E+00   9354.3 2.670E+05 4.388E+15 4.620E+01 4.122E+00 2.000E+05
 8.81119350E+00   9537.2 2.786E+05 5.273E+15 5.598E+01 3.960E+00 2.000E+05
 9.22031835E+00   9701.7 2.916E+05 6.211E+15 6.628E+01 3.916E+00 2.000E+05
PRADK 1.6738E+00
BEGIN                    ITERATION   6 COMPLETED
